id;text;creation_date;theme_id;creator_id
22;"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Type classes first appeared in the Haskell programming language. Erlang is a general-purpose, concurrent, functional programming language. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.";2025-04-10 08:16:25;6;3
23;"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Do you have any idea why this is not working? I don't even care. Ports are created with the built-in function open_port. Do you have any idea why this is not working?";2025-04-24 18:25:13;8;0
24;Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Haskell features a type system with type inference and lazy evaluation. Atoms are used within a program to denote distinguished values. Do you come here often? In 1989 the building was heavily damaged by fire, but it has since been restored.;2025-11-06 11:35:25;5;1
25;Do you come here often? The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Where are my pants? It is also a garbage-collected runtime system.;2025-10-13 18:42:00;2;0
26;In 1989 the building was heavily damaged by fire, but it has since been restored. Haskell features a type system with type inference and lazy evaluation. Ports are used to communicate with the external world. She spent her earliest years reading classic literature, and writing poetry. Atoms are used within a program to denote distinguished values.;2025-11-20 12:03:01;4;19
27;Any element of a tuple can be accessed in constant time. Where are my pants? Do you have any idea why this is not working? Atoms are used within a program to denote distinguished values. He looked inquisitively at his keyboard and wrote another sentence.;2025-07-14 07:27:03;4;1
28;Atoms are used within a program to denote distinguished values. Type classes first appeared in the Haskell programming language. Atoms are used within a program to denote distinguished values. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Where are my pants?;2025-02-04 01:02:52;8;0
29;The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Its main implementation is the Glasgow Haskell Compiler. It is also a garbage-collected runtime system. Do you have any idea why this is not working? They are written as strings of consecutive alphanumeric characters, the first character being lowercase.;2025-02-01 11:26:42;2;16
30;Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. In 1989 the building was heavily damaged by fire, but it has since been restored. Erlang is a general-purpose, concurrent, functional programming language. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.;2025-03-05 11:45:11;7;0
31;Its main implementation is the Glasgow Haskell Compiler. Ports are used to communicate with the external world. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Do you come here often?;2025-03-03 10:45:02;7;19
32;Make me a sandwich. Erlang is known for its designs that are well suited for systems. Haskell features a type system with type inference and lazy evaluation. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. I don't even care.;2025-08-24 12:04:42;2;15
33;Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. He looked inquisitively at his keyboard and wrote another sentence. Tuples are containers for a fixed number of Erlang data types. He looked inquisitively at his keyboard and wrote another sentence. Ports are used to communicate with the external world.;2025-12-28 16:50:27;2;2
34;She spent her earliest years reading classic literature, and writing poetry. Tuples are containers for a fixed number of Erlang data types. It is also a garbage-collected runtime system. Type classes first appeared in the Haskell programming language. Tuples are containers for a fixed number of Erlang data types.;2025-12-29 04:55:20;1;0
35;"Erlang is a general-purpose, concurrent, functional programming language. Its main implementation is the Glasgow Haskell Compiler. In 1989 the building was heavily damaged by fire, but it has since been restored. Its main implementation is the Glasgow Haskell Compiler. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""";2025-04-28 23:09:48;7;0
36;The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Its main implementation is the Glasgow Haskell Compiler. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. In 1989 the building was heavily damaged by fire, but it has since been restored.;2025-12-30 00:01:16;2;0
37;In 1989 the building was heavily damaged by fire, but it has since been restored. Its main implementation is the Glasgow Haskell Compiler. Make me a sandwich. She spent her earliest years reading classic literature, and writing poetry. Tuples are containers for a fixed number of Erlang data types.;2025-01-22 18:24:32;3;3
38;Tuples are containers for a fixed number of Erlang data types. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Tuples are containers for a fixed number of Erlang data types. She spent her earliest years reading classic literature, and writing poetry.;2025-06-24 13:22:46;7;0
39;Do you come here often? In 1989 the building was heavily damaged by fire, but it has since been restored. Tuples are containers for a fixed number of Erlang data types. Atoms are used within a program to denote distinguished values. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.;2025-05-28 07:14:45;1;16
40;"In 1989 the building was heavily damaged by fire, but it has since been restored. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Do you come here often? Where are my pants? In 1989 the building was heavily damaged by fire, but it has since been restored.";2025-09-02 00:25:59;6;0
41;It is also a garbage-collected runtime system. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Erlang is known for its designs that are well suited for systems. Erlang is a general-purpose, concurrent, functional programming language. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.;2025-04-05 14:52:00;5;0
42;Erlang is a general-purpose, concurrent, functional programming language. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Do you come here often? Erlang is known for its designs that are well suited for systems. In 1989 the building was heavily damaged by fire, but it has since been restored.;2025-09-16 21:16:03;3;0
43;Erlang is a general-purpose, concurrent, functional programming language. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. I don't even care. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. She spent her earliest years reading classic literature, and writing poetry.;2025-09-20 11:50:03;7;19
44;"He looked inquisitively at his keyboard and wrote another sentence. In 1989 the building was heavily damaged by fire, but it has since been restored. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" The arguments can be primitive data types or compound data types. Make me a sandwich.";2025-06-18 21:23:20;3;3
45;I don't even care. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Haskell features a type system with type inference and lazy evaluation. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.;2025-01-14 22:11:35;4;0
46;They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Ports are created with the built-in function open_port. Do you come here often? He looked inquisitively at his keyboard and wrote another sentence. Where are my pants?;2025-07-17 01:04:27;4;0
47;Atoms are used within a program to denote distinguished values. Ports are created with the built-in function open_port. Atoms are used within a program to denote distinguished values. In 1989 the building was heavily damaged by fire, but it has since been restored. Erlang is a general-purpose, concurrent, functional programming language.;2025-12-18 08:43:34;2;3
48;"Tuples are containers for a fixed number of Erlang data types. Erlang is known for its designs that are well suited for systems. Ports are used to communicate with the external world. Any element of a tuple can be accessed in constant time. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""";2025-02-22 19:52:58;7;20
49;Do you have any idea why this is not working? Do you have any idea why this is not working? Type classes first appeared in the Haskell programming language. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. The arguments can be primitive data types or compound data types.;2025-08-30 15:45:25;6;0
50;Erlang is a general-purpose, concurrent, functional programming language. Do you have any idea why this is not working? Ports are created with the built-in function open_port. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. He looked inquisitively at his keyboard and wrote another sentence.;2025-11-05 00:24:56;6;9
